AIRBLES,275034,656191
MOTHRWL,275054,657175
NEATH,275100,197500
PNYPANT,275280,353610
GRNFLDS,275591,673147
KGUSSIE,275700,800400
MRRYTON,275925,652365
AIRDRIE,276000,665200
LARKHAL,276065,651235
LLDVERY,276320,234520
HOLYTWN,276400,659500
CMBRNLD,276410,673880
COPLSTN,276700,103120
PTALBOT,276700,189600
SHILDMR,277350,655530
CARFIN,277490,658850
DEGANWY,277900,379100
CONWY,278049,377466
DUNANE,278110,700990
SANQHAR,278130,610150
DRMGLCH,278140,665515
TAIN,278185,882385
DOLGARG,278309,367024
YEOFORD,278325,98905
LUDO,278400,382000
BGOALAN,278530,697720
TALYCFN,278720,371690
WISHAW,279250,654870
LANDUDJ,279488,377857
BETSYCD,279500,356500
NLANRST,279520,362260
STIRLNG,279757,693585
LNRWST,280063,361693
TOTNES,280170,60920
GLNCNWY,280200,376000
CYNGHRD,280220,240677
CLELAND,280365,658470
FEARN,281518,878244
CLDRCRX,282030,667700
PYLE,282297,182125
GOLSPIE,282550,899750
CRLK,283990,650200
CREDITN,284005,99485
SGRLOAF,284500,244000
HRTW,284830,659110
DNROBIN,284860,901250
CBAY,285100,379100
MAESTGW,285520,191420
MAESTER,285900,190900
LARBERT,286000,682600
KINBRAC,286190,931600
GRTHMG,286400,189900
NABT,286752,71200
CAMELON,286760,680730
BLARATH,287000,765300
SHTT,287420,659840
NSTCYRE,288040,98910
NAIRN,288160,856010
FALKRKH,288300,679100
LLWRTYW,288310,246410
LANARK,288575,643660
FALKRKG,288780,680290
ALLOA,288800,693115
PAIGNTN,288960,60600
FORSNRD,289100,942500
TONDU,289460,184370
AVIEMRE,289566,812339
SARN,289830,183400
CARRBDG,289878,822465
KILDONN,290150,921740
TORRE,290360,64850
WLDMILL,290500,181400
TORQUAY,290555,63505
BLKRDGE,290582,667064
BRORA,290657,904141
BRGEND,290769,179848
EXETRSD,291175,93320
EXETRST,291461,91965
EXETERC,291875,92995
FAULDHS,292380,660140
STJAMSP,292682,93498
GLNEGLS,292900,710500
POLMONT,293100,678190
LLGMMRW,293630,247360
PTLCHRY,293830,758100
TREHRBT,293860,198170
ARMDALE,294050,667140
POLSBDG,294097,93483
TEINMTH,294200,73100
ABGLELE,294612,378681
YNYSWEN,294860,197340
CRSTRS,295213,645437
GARTH,295380,249430
BREICH,295600,660600
TREORCY,295940,196490
PENCOED,296000,181700
DIGBY,296062,91520
NWCOURT,296097,90524
DAWLISH,296400,76700
PINHOE,296413,94160
TOPSHAM,296646,88419
